Username,Nickname,Messages,Tokens
"schalkkearney#1031","schalkkearney",19,840.2096165298901
"AikiWiki#9913","AikiWiki",18,811.4044546448804
"corp#9788","corp",18,811.4044546448804
"sherm8n#3127","sherm8n",18,811.4044546448804
"robiosss#8701","robiosss",17,782.5992927598707
"Solon#8510","Solon",17,782.5992927598707
"Aceso#9204","Aceso",17,782.5992927598707
"Skrisiloff#7689","Skrisiloff",17,782.5992927598707
"xec#6601","xec",16,753.7941308748609
"Alice Hansen#8713","Alice Hansen",16,753.7941308748609
"CCFFDEAD#7482","CCFFDEAD",16,753.7941308748609
"Antoinette#5097","Antoinette",16,753.7941308748609
"sabina#1637","sabina",16,753.7941308748609
"davidh.eth#5637","davidh.eth",16,753.7941308748609
"ChrisCopyAI#5136","ChrisCopyAI",16,753.7941308748609
"idosimon#9731","idosimon",15,724.9889689898511
"berroxl#1085","berroxl",15,724.9889689898511
"0xKB#3425","0xKB",15,724.9889689898511
"xinyi#9954","xinyi",15,724.9889689898511
"Kash#3162","Kash",15,724.9889689898511
"phillenix#1727","phillenix",15,724.9889689898511
"nhaynes95#1612","nhaynes95",14,696.1838071048412
"0xkentaro#7836","0xkentaro",14,696.1838071048412
"Eric Zhu#6969","Eric Zhu",14,696.1838071048412
"cloudsport#6558","cloudsport",14,696.1838071048412
"pepeka42#9016","pepeka42",14,696.1838071048412
"Cyrus#4242","Cyrus",14,696.1838071048412
"bakerjake#2249","bakerjake",14,696.1838071048412
"CassCee#5870","CassCee",13,667.3786452198315
"Afonso | impactMarket ($PACT)#2070","Afonso | impactMarket ($PACT)",13,667.3786452198315
"zacharykatsnel#6908","zacharykatsnel",13,667.3786452198315
"Badmonky#4222","Badmonky",13,667.3786452198315
"mamacatpv#8285","mamacatpv",13,667.3786452198315
"legat#5637","legat",13,667.3786452198315
"bertrandrusselwilson#9036","bertrandrusselwilson",13,667.3786452198315
"cryptoken#1989","cryptoken",13,667.3786452198315
"lolibeat#9420","lolibeat",13,667.3786452198315
"Carsey#7622","Carsey",13,667.3786452198315
"Bergman#4572","Bergman",13,667.3786452198315
"netcat#5788","Ivy Evans (she/her)",13,667.3786452198315
"emolamol#5836","emolamol",13,667.3786452198315
"Katoshi#5154","Katoshi",12,638.5734833348217
